,authorJob,authorJobLocation,careerOpportunitiesRating,company,compensationAndBenefitsRating,cultureAndValuesRating,reviewDate,reviewDescription,reviewHeadline,seniorLeadershipRating,workLifeBalanceRating,language,tokens
165,Responsable Développement Activité Filiale,Moscou,,Air Liquide,,,28 août 2014,Air Liquide est une société pour laquelle le travail à l'international est intéressant et enthousiasmant,,,,fr,"[international intéresser, intéresser enthousiasmant, laquelle travail, société laquelle, travail international, société, laquelle, travail, international, intéresser, enthousiasmant]"
166,Stagiaire chargée de mission Ressources Humaines,Paris,,Air Liquide,,,14 août 2014,être stagiaire chez Air Liquide m'a permis d'avoir une expérience dans les ressources humaines.,,,,fr,"[expérience ressources, permettre expérience, ressources humain, stagiaire permettre, stagiaire, permettre, expérience, ressources, humain]"
167,Alternant,"Le Pont-de-Claix, B9",,Air Liquide,,,10 juillet 2014,"Cette expérience a été très enrichissante, me permettant d’avoir une vision à la fois globale et quotidienne de l’entreprise. Elle m’a permis d’avoir une approche plus industrielle du secteur de la chimie que ce qu’on peut avoir dans le supérieur et fut en cela très intéressante. J’en ai tiré beaucoup d’informations qui me sont et me seront utiles pour la construction future de mon parcours professionnel, tant au niveau du secteur que du type et de la taille d’entreprise.",,,,fr,"[approche industriel, chimie pouvoir, construction future, expérience enrichissant, fois global, future parcours, global quotidien, information utile, intéressant tirer, parcours professionnel, pouvoir supérieur, professionnel niveau, supérieur intéressant, tirer information, type taille, utile construction, vision fois, enrichissant permettre, industriel secteur, niveau secteur, permettre approche, permettre vision, quotidien entreprise, secteur chimie, secteur type, taille entreprise, entreprise permettre, expérience, enrichissant, permettre, vision, fois, global, quotidien, entreprise, permettre, approche, industriel, secteur, chimie, pouvoir, supérieur, intéressant, tirer, information, utile, construction, future, parcours, professionnel, niveau, secteur, type, taille, entreprise]"
169,Assistante Administrative de vente,"Puteaux, A8",,Air Liquide,,,23 juin 2014,"une journée de travail est plutôt intense, jusqu'au retour chez soi,pour mon poste il n'y pas d'opportunité,beaucoup d'autonomie,rien à signaler concernant mon poste",,,,fr,"[autonomie,rien signaler, intense retour, journée travail, opportunité,beaucoup autonomie,rien, retour soi,pour, signaler concerner, soi,pour opportunité,beaucoup, travail intense, journée, travail, intense, retour, soi,pour, opportunité,beaucoup, autonomie,rien, signaler, concerner]"
170,cariste AIR LIQUIDE,chalons en ch,,Air Liquide,,,13 mai 2014,"très bonne boite sauf après deux ans travailler chez eux en intérim il me rappel plus ,,,,,",,,,fr,"[boiter deux, bon boiter, deux travailler, intérim rappel, travailler intérim, bon, boiter, deux, travailler, intérim, rappel]"
171,"Ingénieur R&D, secteur pharmaceutique","Jouy-en-Josas, 78",,Air Liquide,,,16 mars 2014,Marge d'autonomie suffisante pour exercer toute notre initiative. Environnement agréable et bons rapports humains.,,,,fr,"[agréable bon, autonomie suffisant, bon rapport, exercer initiative, initiative agréable, marge autonomie, rapport humain, suffisant exercer, marge, autonomie, suffisant, exercer, initiative, agréable, bon, rapport, humain]"
172,préparateur de commande,Nantes,,Air Liquide,,,13 mars 2014,c'est la première fois que je me suis entendu aussi vite et aussi bien avec des collègues.,,,,fr,"[entendre collègue, fois suivre, première fois, suivre entendre, première, fois, suivre, entendre, collègue]"
173,Technicien de maintenance gaz,"Crolles, B9",,Air Liquide,,,20 janvier 2014,"Après mon premier diplôme, BTS Contrôle industriel et régulation automatique, ce travail temporaire a été une vraie surprise car c'est dans cette entreprise que j'ai vraiment appris à travailler en équipe.",,,,fr,"[apprendre travailler, automatique travail, bt contrôle, contrôle industriel, diplôme bt, entreprise apprendre, industriel régulation, premier diplôme, régulation automatique, surprise entreprise, temporaire vrai, travail temporaire, travailler équipe, vrai surprise, premier, diplôme, bt, contrôle, industriel, régulation, automatique, travail, temporaire, vrai, surprise, entreprise, apprendre, travailler, équipe]"
174,Analyste financier - Relation Investisseurs,Paris,,Air Liquide,,,9 décembre 2013,"Année d'apprentissage effectuée au sein du service des relations investisseurs.,Bonne ambiance de travail malgré un rythme soutenu.",,,,fr,"[ambiance travail, année apprentissage, apprentissage effectuéer, effectuéer sein, investisseurs.,bonne ambiance, relations investisseurs.,bonne, rythme soutenir, sein service, service relations, travail rythme, année, apprentissage, effectuéer, sein, service, relations, investisseurs.,bonne, ambiance, travail, rythme, soutenir]"
175,Program Coordinator,"Paris, A8",,Air Liquide,,,28 octobre 2013,"Des missions riches et variées au quotidien qui m'ont permis d'apprendre davantage dans le domaine du RH et surtout la gestion de projet.,J'ai eu l'opportunité de prendre en charge une grande partie de l'organisation d'un campus international qui rassemblait 100 personnes et d'être réellement autonome dans mes missions.,Les collaborateurs m'ont fait confiance dans les diverses missions données.,L'aspect le plus difficile serait la gestion de plusieurs projet en même temps. Je travaillais avec plusieurs collaborateurs à la fois et en simultané. A contrario, l'aspect le plus agréable a été aussi de travailler avec différents acteurs et personnes. Le travail en équipe fut très agréable et enrichissant sur le plan professionnel et personnel",,,,fr,"[apprendre domaine, autonome missions.,le, campu international, charge grand, confiance diverse, différent acteurs, domaine rh, enrichissant plan, faire confiance, fois simultané, grand partie, international rassembler, opportunité prendre, organisation campu, partie organisation, permettre apprendre, plan professionnel, prendre charge, professionnel personnel, projet temps, projet.,j opportunité, quotidien permettre, rassembler 100, riche variéer, simultané contrario, travail équipe, variéer quotidien, 100 person, acteurs person, agréable enrichissant, aspect difficile, collaborateur faire, collaborateur fois, contrario aspect, difficile gestion, diverse mission, données.,l aspect, gestion projet, gestion projet.,j, mission données.,l, mission riche, missions.,le collaborateur, person autonome, person travail, rh gestion, temps travailler, travailler différent, équipe agréable, agréable travailler, aspect agréable, travailler collaborateur, mission, riche, variéer, quotidien, permettre, apprendre, domaine, rh, gestion, projet.,j, opportunité, prendre, charge, grand, partie, organisation, campu, international, rassembler, 100, person, autonome, missions.,le, collaborateur, faire, confiance, diverse, mission, données.,l, aspect, difficile, gestion, projet, temps, travailler, collaborateur, fois, simultané, contrario, aspect, agréable, travailler, différent, acteurs, person, travail, équipe, agréable, enrichissant, ...]"
176,Ingénieur chargé d'affaires & projets,"Bordeaux, 97",,Air Liquide,,,8 octobre 2013,"Beaucoup de déplacement supérieur à 100 km de distance de l'agence. Beaucoup trop d'heure supplémentaire pour les cadres supérieur. Pas de reconnaissance du travail effectué.,Très peu de communication verticale (N+1 et N+2) avec un réel manque de suivi de l'équipe, difficulté de trouver une solution rapide pour des problèmes basiques et opérationnelles et de là net insatisfaction des clients. Management chaotique, avec dissimulation des difficultés ou report tous court des anomalies aux managés. Collaborateur replié sur eux-même sans objectif, laissé dans la difficulté.,L'aspect le plus difficile de mon poste était de pouvoir m'adapter à un environnement très hostile au changement, à un environnement peu communicant et à une équipe de manager très exigent. Je nécessitait d'être très à l'écoute pour recueillir le maximum d'information et être un élément qualitatif de l'équipe.,L'aspect le plus agréable de mon poste fut les rencontres effectuées avec des personnes d'autres nationalités et d'autre services.",,,,fr,"[100 km, adapter hostile, agence heure, agréable rencontres, anomalie managé, basique opérationnelle, changement communicant, chaotique dissimulation, clients chaotique, collaborateur replier, communication verticale, difficile pouvoir, distance agence, effectué.,trè communication, effectuéer person, eux-même objectif, exiger nécessiter, heure supplémentaire, hostile changement, information élément, insatisfaction clients, km distance, laisser difficulté.,l, manager exiger, managé collaborateur, manquer suivi, maximum information, n+1 n+2, n+2 réel, nécessiter écouter, objectif laisser, opérationnelle insatisfaction, pouvoir adapter, problème basique, qualitatif équipe.,l, rapide problème, reconnaissance travail, recueillir maximum, rencontres effectuéer, replier eux-même, report anomalie, réel manquer, solution rapide, supplémentaire cadres, travail effectué.,trè, trouver solution, verticale n+1, écouter recueillir, élément qualitatif, aspect agréable, aspect difficile, autre nationalité, autre service, cadres supérieur, communicant équipe, difficulté report, difficulté trouver, difficulté.,l aspect, dissimulation difficulté, nationalité autre, person autre, suivi équipe, supérieur 100, supérieur reconnaissance, équipe manager, équipe.,l aspect, équipe difficulté, supérieur, 100, km, distance, agence, heure, supplémentaire, cadres, supérieur, reconnaissance, travail, effectué.,trè, communication, verticale, n+1, n+2, réel, manquer, suivi, équipe, difficulté, trouver, solution, rapide, problème, basique, opérationnelle, insatisfaction, clients, chaotique, dissimulation, difficulté, report, ...]"
177,Stage en chimie organométallique,"Jouy-en-Josas,",,Air Liquide,,,15 septembre 2013,"Un stage très intéressant, qui m'a permis d'élargir mes connaissances.",,,,fr,"[intéresser permettre, permettre élargir, stage intéresser, élargir connaissance, stage, intéresser, permettre, élargir, connaissance]"
178,Chef de projet réseau et sécurité,La Defense,,Air Liquide,,,27 août 2013,Cadre de travail agréable avec un esprit d'entreprise excellent,,,,fr,"[agréable esprit, cadre travail, entreprise excellent, esprit entreprise, travail agréable, cadre, travail, agréable, esprit, entreprise, excellent]"
179,Coordinatrice Logistique,"La Défense,",,Air Liquide,,,12 juillet 2013,"Entreprise favorisant l'équilibre vie privée vie professionnelle,La formation permanente permet une évolution constante au sein du Groupe",,,,fr,"[constant sein, entreprise favoriser, favoriser équilibre, formation permanent, permanent permettre, permettre évolution, professionnelle,la formation, évolution constant, privéer vie, vie privéer, vie professionnelle,la, équilibre vie, entreprise, favoriser, équilibre, vie, privéer, vie, professionnelle,la, formation, permanent, permettre, évolution, constant, sein]"
180,Technicien maintenance / chargé d'affaires,St Fons (69),,Air Liquide,,,5 juillet 2013,"Réunion avec le service production pour déterminer les priorités d'interventions du jour en fonction des derniers évènements.,Diagnostiques techniques des derniers évènements.,Distribution des affaires aux entreprises sous traitantes.,Suivi des affaires.",,,,fr,"[déterminer priorité, entreprise traitantes.,suivi, intervention jour, jour fonction, priorité intervention, production déterminer, réunion service, service production, évènements.,diagnostique technique, affaires entreprise, dernier évènements.,diagnostique, dernier évènements.,distribution, fonction dernier, technique dernier, traitantes.,suivi affaires, évènements.,distribution affaires, réunion, service, production, déterminer, priorité, intervention, jour, fonction, dernier, évènements.,diagnostique, technique, dernier, évènements.,distribution, affaires, entreprise, traitantes.,suivi, affaires]"
181,RESPONSABLE régionale de gestION,Labège,,Air Liquide,,,17 juin 2013,"Management des techniciens pour les Installations en clientèles,Comptabilité Clients et Fournisseurs, suivi des frais, Analyse des comptes d'exploitation, tableaux de contribution,Suivi de l'intérim et des assurances",,,,fr,"[analyse compte, clients fournisseur, clientèles,comptabilité clients, compte exploitation, contribution,suivi intérim, exploitation tableau, fournisseur suivre, frer analyse, installation clientèles,comptabilité, intérim assurance, suivre frer, tableau contribution,suivi, technicien installation, technicien, installation, clientèles,comptabilité, clients, fournisseur, suivre, frer, analyse, compte, exploitation, tableau, contribution,suivi, intérim, assurance]"
182,archivage,Sassenage (38),,Air Liquide,,,12 juin 2013,"J'ai effectué un job d'été durant un mois à l'AIR LIQUIDE et cette entreprise m'a très bien accueilli, parfait pour une première approche du monde du travaille",,,,fr,"[accueillir parfait, approche monde, durer mois, effectuer job, entreprise accueillir, job durer, mois entreprise, monde travaille, parfait première, première approche, effectuer, job, durer, mois, entreprise, accueillir, parfait, première, approche, monde, travaille]"
183,Reporting,Champigny,,Air Liquide,,,13 mai 2013,Travaillé dans une grande société comme Air Liquide il ma permet d'avoir une vision sur l'inter national découvrir les idées des autres conduire le changement et avoir un contacte directe avec des espères afin de mettre en place un nouveau outil de reprise de données.,,,,fr,"[autre conduire, changement contacte, conduire changement, contacte directe, directe espérer, découvrir idée, espérer mettre, grand société, idée autre, inter national, mettre place, national découvrir, nouveau outil, outil reprise, permettre vision, place nouveau, reprise donnée, société permettre, travailler grand, vision inter, travailler, grand, société, permettre, vision, inter, national, découvrir, idée, autre, conduire, changement, contacte, directe, espérer, mettre, place, nouveau, outil, reprise, donnée]"
184,Responsable des ventes,Metz,,Air Liquide,,,13 mai 2013,"Chaque jour et différent,Challenge quotidien pour atteindre les objectifs,Travail d'équipe et adapabilité sont des conditions nécessaires à la réussite.",,,,fr,"[adapabilité condition, atteindre objectifs,travail, condition nécessaire, différent,challenge quotidien, jour différent,challenge, nécessaire réussite, objectifs,travail équipe, quotidien atteindre, équipe adapabilité, jour, différent,challenge, quotidien, atteindre, objectifs,travail, équipe, adapabilité, condition, nécessaire, réussite]"
185,étuveur,mitry clays,,Air Liquide,,,30 avril 2013,"une journée de travaille a ces bien.,les opportunités aucune.,le management pas trop sa.,les collaborateur correcte.,l'aspect le plus difficile remplacer l'organisateur et faire le travaille de deux personne.,l'aspect le plus agréable travailler en tous seul",,,,fr,"[aucune.,le sa.,le, bien.,le opportunité, collaborateur correcte.,l, deux personne.,l, difficile remplacer, opportunité aucune.,le, organisateur faire, remplacer organisateur, sa.,le collaborateur, aspect agréable, aspect difficile, correcte.,l aspect, personne.,l aspect, agréable travailler, faire travailler, journée travailler, travailler bien.,le, travailler deux, journée, travailler, bien.,le, opportunité, aucune.,le, sa.,le, collaborateur, correcte.,l, aspect, difficile, remplacer, organisateur, faire, travailler, deux, personne.,l, aspect, agréable, travailler]"
186,Saisonnier,Joué les tours,,Air Liquide,,,23 avril 2013,Grande entreprise avec de bonnes conditions de travail et de sécurité. Bonne entente générale.,,,,fr,"[condition travail, entente général, grand entreprise, travail sécurité, bon condition, bon entente, entreprise bon, sécurité bon, grand, entreprise, bon, condition, travail, sécurité, bon, entente, général]"
187,technicienne informatique,sassenage,,Air Liquide,,,22 avril 2013,"+,les collaborateurs,le cadre de travail,les horaires de travail souple (obligatoire 9h-11h30--- 14h-16h le reste en variable)",,,,fr,"[+ collaborateurs,le, 14h-16h rester, 9h-11h30 14h-16h, cadre travail,le, collaborateurs,le cadre, horaire travail, obligatoire 9h-11h30, rester variable, souple obligatoire, travail souple, travail,le horaire, +, collaborateurs,le, cadre, travail,le, horaire, travail, souple, obligatoire, 9h-11h30, 14h-16h, rester, variable]"
188,Regleur Instrumentiste,Audience,,Air Liquide,,,20 novembre 2012,"Diagnostique des pannes,,Dépannage,,Curatif,,Préventif,,Bonne equipe",,,,fr,"[diagnostique pannes,,dépannage,,curatif,,préventif,,bonne, pannes,,dépannage,,curatif,,préventif,,bonne equipe, diagnostique, pannes,,dépannage,,curatif,,préventif,,bonne, equipe]"
198,Technicien au service a la clientèle,"Montréal, QC",,Air Liquide,,,26 août 2015,Air liquide est une bonne entreprise ou evoluer et progresser dans sa profession,,,,fr,"[bon entreprise, entreprise evoluer, evoluer progresser, progresser profession, bon, entreprise, evoluer, progresser, profession]"
211,Ingénieur mécanique,Madagascar,,Air Liquide,,,6 mars 2014,"PRESENTATION D’AIR LIQUIDE SOAM,• AIR LIQUIDE SOAM est installée à Madagascar depuis 1949, suite à l’ouverture d’une usine de gaz de l’air dans la capitale Antananarivo,• Par la suite, AIR LIQUIDE a augmenté ses capacités de production avec deux autres usines à Majunga et Diego-Suarez.,• La société est représentée dans toute l’île par 15 distributeurs-revendeurs.,• En 2006, AIR LIQUIDE SOAM a déployé un Système de Management industriel (IMS) dont l'objectif est d'assurer la sécurité et la fiabilité de nos installations. Les fondamentaux du projet IMS sont la compétence du personnel de production et la mise en place de procédures industrielles.,• Le Capital est de 491 816 000 Ariary. Il est détenu à 75% par le groupe AIR LIQUIDE et à 25% par des privés malgaches et étrangers.,• L’effectif actuel est 88 employés.",,,,fr,"[000 ariary, 15 distributeurs-revendeurs.,•, 25% privés, 491 816, 75% 25%, 816 000, 88 employé, actuel 88, ariary détenir, assurer sécurité, augmenter capacité, autre usines, capital 491, capitale antananarivo,•, compétence personnel, deux autre, diego-suarez.,• société, distributeurs-revendeurs.,• 2006, dont objectif, déployer système, détenir 75%, effectif actuel, fiabilité installation, fondamentaux projet, gaz capitale, industrielles.,• capital, installation fondamentaux, installéer madagascar, madagascar 1949, majunga diego-suarez.,•, malgache étrangers.,•, mise place, objectif assurer, ouverture usine, place procédure, presentation soam,•, privés malgache, procédure industrielles.,•, représentéer île, société représentéer, système industriel, sécurité fiabilité, usine gaz, usines majunga, étrangers.,• effectif, île 15, 1949 suite, 2006 soam, antananarivo,• suite, capacité production, im compétence, im dont, industriel im, personnel production, production deux, production mise, projet im, soam déployer, soam installéer, soam,• soam, suite augmenter, suite ouverture, presentation, soam,•, soam, installéer, madagascar, 1949, suite, ouverture, usine, gaz, capitale, antananarivo,•, suite, augmenter, capacité, production, deux, autre, usines, majunga, diego-suarez.,•, société, représentéer, île, 15, distributeurs-revendeurs.,•, 2006, soam, déployer, système, industriel, im, dont, objectif, assurer, sécurité, fiabilité, installation, ...]"
214,Assistante Administrative et Commerciale,MILMORT,,Air Liquide,,,20 janvier 2014,"Horaire 8H30 - 16H30 17H00,Malheureusement il n'y avait pas de possibilité de développement. En plus en contrat CPE (CONTRAT PREMIER EMPLOI), il n'y avait pas de possibilité d'engagement...,Avec mes collègues tout se passait très bien, j'ai d'ailleurs encore à l'heure actuelle beaucoup de contact avec certains d'entre eux.,Ce travail était très agréable car j'étais autonome dans mon travail, je ne subissais pas de pression de la part de ma responsable.",,,,fr,"[8h30 16h30, actuel contact, agréable autonome, collègue passer, contact eux.,ce, engagement...,avec collègue, heure actuel, horaire 8h30, mum responsable, part mum, passer heure, premier emploi, pression part, subir pression, 16h30 possibilité, autonome travail, contrat cpe, contrat premier, cpe contrat, développement contrat, emploi possibilité, eux.,ce travail, possibilité développement, possibilité engagement...,avec, travail agréable, travail subir, horaire, 8h30, 16h30, possibilité, développement, contrat, cpe, contrat, premier, emploi, possibilité, engagement...,avec, collègue, passer, heure, actuel, contact, eux.,ce, travail, agréable, autonome, travail, subir, pression, part, mum, responsable]"
216,stageaire respirateur d'anesthésie,tunis,,Air Liquide,,,24 décembre 2013,savoir utiliser les respirateur et savoir faire leurs maintenance,,,,fr,"[faire maintenance, utiliser respirateur, respirateur savoir, savoir faire, savoir utiliser, savoir, utiliser, respirateur, savoir, faire, maintenance]"
217,Stage - chaine logistique,"Houston, TX",,Air Liquide,,,18 juillet 2013,"Effectuant mon stage aux États-Unis chez Air liquide, m’a donné la meilleur image sur le respect des horaires.,Une entreprise qui s’intéresse de l’évolution de ces employés sur plusieurs niveaux, très bien gérer.,Des collègues très agréables qui m’ont bien aidé à s’intégrer rapidement.,Ce n’était plutôt pas facile de prendre parti d’un grand projet qui existait depuis plusieurs années et aider vraiment à le compléter.,Mais les analyses des offres et les évaluer m’a vraiment intéressé",,,,fr,"[analyse offre, collègue agréable, compléter.,mai analyse, donner meilleur, effectuer stage, employé niveaux, exister année, grand projet, gérer.,de collègue, horaires.,une entreprise, image respect, intégrer rapidement.,ce, meilleur image, niveaux gérer.,de, offre évaluer, parti grand, prendre parti, projet exister, rapidement.,ce prendre, respect horaires.,une, stage états-uni, états-uni donner, évolution employé, agréable aider, aider compléter.,mai, aider intégrer, année aider, entreprise intéresser, intéresser évolution, évaluer intéresser, effectuer, stage, états-uni, donner, meilleur, image, respect, horaires.,une, entreprise, intéresser, évolution, employé, niveaux, gérer.,de, collègue, agréable, aider, intégrer, rapidement.,ce, prendre, parti, grand, projet, exister, année, aider, compléter.,mai, analyse, offre, évaluer, intéresser]"
532,Assistant Marketing Intelligence & CRM,Paris (75),,BNP Paribas,,,8 juillet 2016,"Les chefs sont gentils et ouverts à nous apprendre.,Humanité et solidarité.",,,,fr,"[apprendre.,humaniter solidarité, chef gentil, gentil ouvertre, ouvertre apprendre.,humaniter, chef, gentil, ouvertre, apprendre.,humaniter, solidarité]"
533,Assistant administratif,Rueil-Malmaison (92),,BNP Paribas,,,6 juillet 2016,"Très bonne entreprise. Bonne ambiance, cadre de travail agréable",,,,fr,"[ambiance cadre, cadre travail, travail agréable, bon ambiance, bon entreprise, entreprise bon, bon, entreprise, bon, ambiance, cadre, travail, agréable]"
534,Conseiller clientèle,France,,BNP Paribas,,,28 juin 2016,"Banque qui en apparence est robuste , classe et élitiste.,Une fois à l'intérieur des propos dénigrants sur les clients d'origines divers peuvent être entendus, ou sur leurs modestes revenus ... ,Décevant.,A l'arrivée tout est beau, formation, suivis puis ... Le néant réduction de la masse salariale, surcharge de travail, plus de conseiller d'accueil, toit le monde doit s'y rendre avec les mêmes objectifs commerciaux et de rdv..",,,,fr,"[accueil toir, apparence robuste, arrivée formation, banque apparence, classe élitiste.,une, clients origine, commercial rdv, conseiller accueil, devoir rendre, diver pouvoir, décevant.,er arrivée, dénigrant clients, entendure modeste, fois intérieur, formation suivre, intérieur propos, masse salariale, modeste revenure, monde devoir, néant réduction, objectif commercial, origine diver, pouvoir entendure, propos dénigrant, rendre objectif, robuste classe, réduction masse, salariale surcharge, surcharge travail, toir monde, travail conseiller, élitiste.,une fois, ... décevant.,er, ... néant, revenure ..., suivre ..., banque, apparence, robuste, classe, élitiste.,une, fois, intérieur, propos, dénigrant, clients, origine, diver, pouvoir, entendure, modeste, revenure, ..., décevant.,er, arrivée, formation, suivre, ..., néant, réduction, masse, salariale, surcharge, travail, conseiller, accueil, toir, monde, devoir, rendre, objectif, commercial, rdv]"
535,Hôtesse d'accueil,Paris (75),,BNP Paribas,,,26 juin 2016,cet emploi m'as permis d'enrichir mon expérience professionnel ainsi que mon sens de l'organisation et le travail en équipe,,,,fr,"[emploi permettre, enrichir expérience, expérience professionnel, organisation travail, permettre enrichir, professionnel sen, sen organisation, travail équipe, emploi, permettre, enrichir, expérience, professionnel, sen, organisation, travail, équipe]"
536,Assistante Ressources Humaines (CDD),Saint-Germain-en-Laye (78),,BNP Paribas,,,21 juin 2016,"Environnement de travail agréable,Bonne formation dans l'ensemble,Développement de compétences",,,,fr,"[agréable,bonne formation, formation compétence, travail agréable,bonne, travail, agréable,bonne, formation, compétence]"
537,Chargé d'accueil,Cayenne (76),,BNP Paribas,,,21 juin 2016,"très bonne entreprise , j'ai apprécié mes mois de travail au sein du groupe",,,,fr,"[apprécier mois, bon entreprise, entreprise apprécier, mois travail, travail sein, bon, entreprise, apprécier, mois, travail, sein]"
539,Chargé d'affaires professionnels,France,,BNP Paribas,,,17 juin 2016,"Après avoir longtemps souhaité intégrer cette entreprise, j'ai vite déchanté.,J'occupais un role de chargé d'affaire et avais 2 portefeuille client en charge.,Mes journées était vraiment dense et je travaillais de 8h30 à 20H tout les jours sans avoir le temps de manger le midi ou sinon en 3 minutes.,En effet, je n'avais pas le temps de manger le midi du fait d'une manager qui me surchargeait de travail et était insatisfaite de mon rendement car elle voulait avoir sa promotion.,J'ai préféré démissionner car les RH ne réagissait pas.",,,,fr,"[2 portefeuille, 20h jour, 3 minutes.,en, 8h30 20h, affaire 2, charge.,me journée, chargé affaire, client charge.,me, dense travailler, déchanté.,j occuper, démissionner rh, entreprise déchanté.,j, fait manager, insatisfaite vouloir, intégrer entreprise, journée dense, manager surchargeer, minutes.,en effet, occuper role, portefeuille client, promotion.,j préférer, préférer démissionner, rh réagir, role chargé, souhaiter intégrer, surchargeer travail, travail insatisfaite, travailler 8h30, vouloir promotion.,j, manger midi, temps manger, effet temps, jour temps, midi 3, midi fait, souhaiter, intégrer, entreprise, déchanté.,j, occuper, role, chargé, affaire, 2, portefeuille, client, charge.,me, journée, dense, travailler, 8h30, 20h, jour, temps, manger, midi, 3, minutes.,en, effet, temps, manger, midi, fait, manager, surchargeer, travail, insatisfaite, vouloir, promotion.,j, préférer, démissionner, rh, réagir]"
540,Assistant Chargé,Melun (77),,BNP Paribas,,,17 juin 2016,"beaucoup de formation, bel accompagnement, bel strcuture",,,,fr,"[bel strcuture, formation bel, bel bel, formation, bel, bel, strcuture]"
541,Conseillère en Patrimoine Financier,Strasbourg (67),,BNP Paribas,,,13 juin 2016,environnement agréable mais salaire insuffisant pour la charge de travail,,,,fr,"[agréable salaire, charge travail, insuffisant charge, salaire insuffisant, agréable, salaire, insuffisant, charge, travail]"
542,AUXILIAIRE ADMNISTRATIF (SAISONNIER),Paris (75),,BNP Paribas,,,9 juin 2016,"Aptitude à l'oralité , sens aigu du service et des relations humaines,Préparer des documents divers , trier , classer et archiver les documents et gérer les courriers",,,,fr,"[aigu service, aptitude oralité, classer archiver, diver trier, gérer courrier, oralité sen, relations humaines,préparer, sen aigu, service relations, trier classer, archiver document, document diver, document gérer, humaines,préparer document, aptitude, oralité, sen, aigu, service, relations, humaines,préparer, document, diver, trier, classer, archiver, document, gérer, courrier]"
543,Agent de saisie Service Monétique,Fontenay-sous-Bois (94),,BNP Paribas,,,8 juin 2016,"Tout se déroulé dans une bonne cohésion, le travail était technique",,,,fr,"[bon cohésion, cohésion travail, dérouler bon, travail technique, dérouler, bon, cohésion, travail, technique]"
544,Conseillère clientèle en alternance,Saint-Chamond (42),,BNP Paribas,,,3 juin 2016,"Entreprise à l'écoute,Bonnes relations avec les équipes,Différentes possibilités d'évolution",,,,fr,"[entreprise écoute,bon, possibilité évolution, relations équipes,différent, écoute,bon relations, équipes,différent possibilité, entreprise, écoute,bon, relations, équipes,différent, possibilité, évolution]"
545,chargé d'affaire professionnelles,Sartrouville (78),,BNP Paribas,,,1 juin 2016,"Gestion des débiteurs,gestion des OC = opportunités clients = force de proposition sur les thèmes du crédit, de la conquête pro pour les clients professionnelles,  épargne et prévoyance.,Très bonne entente avec les collaborateurs qui m'a permis de développer mes compétence est acquérir les technicité du métier qui m'étaient inconnues avant d'intégrer BNP Paribas.,Le moins agréable ne pas avoir pu intégrer le métier pour lequel je souhaitais mettre en avant mes qualités.",,,,fr,"[acquérir technicité, agréable pouvoir, bon entente, collaborateur permettre, compétence acquérir, conquête pro, crédit conquête, débiteurs,gestion oc, développer compétence, entente collaborateur, force proposition, gestion débiteurs,gestion, lequel souhaiter, mettre qualité, paribas.,le agréable, permettre développer, professionnel épargne, proposition thème, prévoyance.,trè bon, souhaiter mettre, thème crédit, épargne prévoyance.,trè, = force, = opportunité, clients professionnel, inconnu intégrer, intégrer paribas.,le, métier inconnu, métier lequel, oc =, opportunité clients, pouvoir intégrer, pro clients, technicité métier, clients =, intégrer métier, gestion, débiteurs,gestion, oc, =, opportunité, clients, =, force, proposition, thème, crédit, conquête, pro, clients, professionnel, épargne, prévoyance.,trè, bon, entente, collaborateur, permettre, développer, compétence, acquérir, technicité, métier, inconnu, intégrer, paribas.,le, agréable, pouvoir, intégrer, métier, lequel, souhaiter, mettre, qualité]"
546,Auxiliaire d'été,Deauville (14),,BNP Paribas,,,1 juin 2016,Expérience professionnelle enrichissante cela m'a permis d'appréhender le monde financier.,,,,fr,"[appréhender monde, enrichissant permettre, expérience professionnel, monde financier, permettre appréhender, professionnel enrichissant, expérience, professionnel, enrichissant, permettre, appréhender, monde, financier]"
547,Chargée de communication commerciale,Paris 2e (75),,BNP Paribas,,,27 mai 2016,"Bonne expérience, missions très variées et bon management",,,,fr,"[expérience mission, mission variéer, bon expérience, variéer bon, bon, expérience, mission, variéer, bon]"
548,Conseiller client en assurance,Nanterre (92),,BNP Paribas,,,19 mai 2016,"les journées de travail sont chargées, les périodes de mobilité vers d'autres postes sont courtes, la collaboration entre employés est agréable. les procédures administratives internes sont longues, le management d'équipe manque de flexibilité.",,,,fr,"[administratif interne, agréable procédure, autre postes, chargéer période, collaboration employé, courte collaboration, employé agréable, interne longu, journée travail, longu équipe, manquer flexibilité, mobilité autre, postes courte, procédure administratif, période mobilité, travail chargéer, équipe manquer, journée, travail, chargéer, période, mobilité, autre, postes, courte, collaboration, employé, agréable, procédure, administratif, interne, longu, équipe, manquer, flexibilité]"
549,Chargé de renfort commercial,Nanterre (92),,BNP Paribas,,,19 mai 2016,Tres belle expérience dans le monde bancaire ce CDD m'a appris beaucoup de chose positive.,,,,fr,"[apprendre chose, bancaire cdd, bel expérience, cdd apprendre, chose positif, expérience monde, monde bancaire, tre bel, tre, bel, expérience, monde, bancaire, cdd, apprendre, chose, positif]"
550,Gestionnaire de résidence étudiante,Valence (26),,BNP Paribas,,,18 mai 2016,"Entreprise sur valence à éviter,Management de pression,Harcèlement moral +++++",,,,fr,"[entreprise valence, valence moral, moral +, + +, entreprise, valence, moral, +, +, +, +, +]"
